;id;unvan;gorevyeri;anahtarkelime;anahtarkelime2;ilgi
0;26096;PROFESÖR;SAKARYA ÜNİVERSİTESİ/FEN-EDEBİYAT FAKÜLTESİ/KİMYA BÖLÜMÜ/ANALİTİK KİMYA ANABİLİM DALI/;Fen Bilimleri ve Matematik Temel Alanı;Kimya;" Nanoteknoloji ; Spektroskopi ; Su ve Atıksu Arıtma"
1;1463;PROFESÖR;SAKARYA ÜNİVERSİTESİ/İLAHİYAT FAKÜLTESİ/TEMEL İSLAM BİLİMLERİ BÖLÜMÜ/HADİS ANABİLİM DALI/;İlahiyat Temel Alanı;Temel İslam Bilimleri;" Hadis ; Tasavvuf "
2;137961;PROFESÖR;SAKARYA ÜNİVERSİTESİ/İLAHİYAT FAKÜLTESİ/FELSEFE VE DİN BİLİMLERİ BÖLÜMÜ/DİN PSİKOLOJİSİ ANABİLİM DALI/;İlahiyat Temel Alanı;Felsefe ve Din Bilimleri; Din Psikolojisi
3;194926;PROFESÖR;SAKARYA ÜNİVERSİTESİ/TIP FAKÜLTESİ/CERRAHİ TIP BİLİMLERİ BÖLÜMÜ/GÖĞÜS CERRAHİSİ ANABİLİM DALI/;Sağlık Bilimleri Temel Alanı;Göğüs Cerrahisi;
4;10868;PROFESÖR;SAKARYA ÜNİVERSİTESİ/SİYASAL BİLGİLER FAKÜLTESİ/ÇALIŞMA EKONOMİSİ VE ENDÜSTRİ İLİŞKİLERİ BÖLÜMÜ/İNSAN KAYNAKLARI YÖNETİMİ ANABİLİM DALI/;Sosyal-Beşeri ve İdari Bilimler Temel Alanı;Sosyal Politika;" Çalışma Psikolojisi ; Çalışma Ekonomisi ve İktisadi Demografi ; Bölgesel Gelişme ve Küreselleşme"
5;3796;PROFESÖR;SAKARYA ÜNİVERSİTESİ/MÜHENDİSLİK FAKÜLTESİ/METALURJİ VE MALZEME MÜHENDİSLİĞİ BÖLÜMÜ/METALURJİ VE MALZEME MÜHENDİSLİĞİ ANABİLİM DALI/;Mühendislik Temel Alanı;Malzeme ve Metalurji Mühendisliği;" Malzeme Üretim Teknolojileri ; Kaplama Teknolojisi ; Üretim Metalurjisi"
6;136050;PROFESÖR;SAKARYA ÜNİVERSİTESİ/MÜHENDİSLİK FAKÜLTESİ/GIDA MÜHENDİSLİĞİ BÖLÜMÜ/GIDA MÜHENDİSLİĞİ ANABİLİM DALI/;Mühendislik Temel Alanı;Gıda Bilimleri ve Mühendisliği;" Süt Teknolojisi ; Gıda Teknolojileri ; Gıda Bilimi"
7;30771;PROFESÖR;SAKARYA ÜNİVERSİTESİ/İLAHİYAT FAKÜLTESİ/TEMEL İSLAM BİLİMLERİ BÖLÜMÜ/ARAP DİLİ VE BELAGATI ANABİLİM DALI/;İlahiyat Temel Alanı;Temel İslam Bilimleri; Arap Dili ve Belâgati
8;136836;PROFESÖR;SAKARYA ÜNİVERSİTESİ/İLETİŞİM FAKÜLTESİ/İLETİŞİM TASARIMI VE MEDYA BÖLÜMÜ/İLETİŞİM TASARIMI VE MEDYA ANABİLİM DALI/;Eğitim Bilimleri ve Öğretmen Yetiştirme Temel Alanı;Eğitim Bilimleri;" Eğitim Programları ve Öğretim ; Eğitimin Sosyal ve Tarihi Temelleri ; Eğitim Sosyolojisi"
9;153321;PROFESÖR;SAKARYA ÜNİVERSİTESİ/TIP FAKÜLTESİ/CERRAHİ TIP BİLİMLERİ BÖLÜMÜ/ÜROLOJİ ANABİLİM DALI/;Sağlık Bilimleri Temel Alanı;Üroloji;
